,职业名,地址,薪资
154,房产经纪人,思明区,6000-12000
155,5K+就近分配+海外游,湖里区,8000-12000
156,信息采集员,翔鹭,5000-6000
157,业务助理,新店,5000-10000
158,惠游链企划,思明区,4500-6000
159,区域经理,南山,12000-24000
160,业务员,镇海路,5000-10000
161,活动策划（集美万达店）,集美万达,3500-6500
162,湖里区销售代表4K+高抽,湖里区,4000-8000
163,门窗销售经理,嘉庚体…,面议
164,包住+无责底薪+高抽,漳州港,6000-12000
165,房产中介业务员,嘉庚体…,4000-7500
166,社区团长,湖里区,6000-12000
167,行销企划,湖里万达,8000-10000
168,自媒体推广助理包吃住五险,工业集…,4000-6000
169,互联网推广,吕厝,面议
170,应届毕业实习生,莲坂,6000-8000
171,推广专员,杏西路,5000-8000
172,商务BD+底薪3500,厦门,5000-10000
173,家装业务员,华侨大学,面议
174,新媒体推广/高薪/双休,厦门北站,5000-10000
175,有钱没钱就来麦田,厦门,5000-8000
176,策划,厦门,4000-8000
177,自媒体运营专员,厦门,面议
178,挑战自己,湖滨北路,6000-8000
179,企划经理,厦门,面议
180,综合金融精英,同安区,10000-12000
181,销售实习生底薪4K+提成,厦门,5000-8000
182,4K底薪管培生/储备干部,莲坂,5000-8000
183,支付宝口碑业务拓展销售,鹭江道,5000-8000
184,网络推广,湖里区,5000-9900
185,诚聘市场销售高薪,软件园,20000-40000
186,市场调研项目督导,火车站,5000-6500
187,市场策划主管,祥店,5000-8000
188,高级销售顾问底薪4500,环东海域,8000-15000
189,欢迎敢拼想挑战高薪的伙伴,SM商圈,5000-8000
190,市场调研项目经理助理,火车站,5000-6500
191,应届生底薪4.5k无经验,环东海域,8000-15000
